query_id,user_id,dataset_id,bytes_processed_gb,query_type,executed_at,query_origin
Q01,U05,D02,109,scheduled,2025-12-10 08:00:00,API
Q02,U07,D01,328,dashboard,2025-12-10 10:00:00,API
Q03,U08,D01,51,scheduled,2025-12-10 12:00:00,API
Q04,U05,D01,86,scheduled,2025-12-10 14:00:00,API
Q05,U06,D04,309,dashboard,2025-12-10 16:00:00,API
Q06,U02,D03,316,ad_hoc,2025-12-10 18:00:00,API
Q07,U02,D01,57,scheduled,2025-12-10 20:00:00,Looker
Q08,U07,D04,399,dashboard,2025-12-10 22:00:00,Looker
Q09,U06,D02,123,scheduled,2025-12-11 00:00:00,Looker
Q10,U08,D03,230,ad_hoc,2025-12-11 02:00:00,Notebook
Q11,U07,D01,381,dashboard,2025-12-11 04:00:00,API
Q12,U05,D03,305,scheduled,2025-12-11 06:00:00,Looker
Q13,U05,D04,383,dashboard,2025-12-11 08:00:00,API
Q14,U04,D04,149,scheduled,2025-12-11 10:00:00,Notebook
Q15,U05,D03,208,ad_hoc,2025-12-11 12:00:00,API
Q16,U06,D04,176,ad_hoc,2025-12-11 14:00:00,Looker
Q17,U07,D04,328,ad_hoc,2025-12-11 16:00:00,Looker
Q18,U08,D01,256,dashboard,2025-12-11 18:00:00,Notebook
Q19,U08,D04,360,scheduled,2025-12-11 20:00:00,Notebook
Q20,U04,D04,241,ad_hoc,2025-12-11 22:00:00,API
