query_id,event_date,user_id,team_id,dataset_id,environment,bytes_scanned_gb,execution_time_ms
71eb5db4-ad68-495c-9c7f-cfe3f66a68ff,2025-06-29,U06,T03,D04,prod,0.18,1017
9f54670e-ffcc-44f0-acec-a240c2edaa8a,2025-06-29,U08,T04,D01,prod,0.12,168
dfc8e0b0-ae74-4ab2-82d5-3b7ad98ea2a2,2025-06-29,U01,T01,D02,prod,0.24,1025
cf31fcbe-2995-4ec6-acc2-d78016191d10,2025-06-29,U05,T03,D03,prod,0.26,987
e24d88e7-8c42-4fd7-8ba4-a71b02c9d608,2025-06-29,U02,T01,D03,staging,0.06,1069
e4e41f47-2c7b-43dd-ac39-668230445cee,2025-06-29,U03,T02,D01,prod,0.14,246
3eb272ed-ecdd-4758-983d-acc8d18fea42,2025-06-29,U05,T03,D03,staging,0.05,1602
f7a12b85-c849-48cc-81ee-5dc9ad52d6f3,2025-06-29,U02,T01,D02,prod,0.28,886
be14e7d8-f0f0-4dab-a87b-e20aa16a1f18,2025-06-29,U02,T01,D02,prod,0.17,963
9d550285-4f4f-44f2-821f-622fe86f647a,2025-06-29,U03,T02,D01,prod,0.24,1253
3b8b0812-b417-4c96-b1d5-7a02286b636f,2025-06-29,U02,T01,D04,prod,0.13,1008
46d4fad4-20eb-4da1-b214-8380a635ca72,2025-06-29,U05,T03,D04,prod,0.32,926
2826439c-ec8c-46a9-b515-874c04673b5b,2025-06-29,U02,T01,D02,prod,0.17,657
0cd414c5-d91e-4dcd-b9b1-3a9623aad5b6,2025-06-29,U04,T02,D01,prod,0.16,1311
73a078a2-0d07-4547-a6b9-b02f9e680868,2025-06-29,U02,T01,D03,prod,0.21,495
de0e4905-318d-4433-a454-b376e54bd08c,2025-06-29,U04,T02,D02,prod,0.12,964
926e36ef-ec8a-4189-8de6-edb1824c98ed,2025-06-29,U03,T02,D04,prod,0.04,767
63e596f3-0e4c-4fda-a382-aef64c733e2d,2025-06-29,U05,T03,D01,prod,0.19,1547
7f142e29-b533-4ba5-8005-ba2d47dfde33,2025-06-29,U05,T03,D04,staging,0.12,1265
fe40993c-f34c-41bf-8683-6d410ead3d74,2025-06-29,U06,T03,D04,prod,0.16,570
07e0496f-2889-4b64-bf4c-5f9b9049bfc5,2025-06-29,U01,T01,D03,staging,0.06,1086
0c3a8b1e-d4f3-4d1f-a343-8264e1fa63c8,2025-06-29,U07,T04,D01,prod,0.18,1144
474209c9-5d95-4d02-9008-60319124e619,2025-06-29,U03,T02,D01,prod,0.1,1200
af26a084-47dd-4dce-a598-a96e95c656a4,2025-06-29,U06,T03,D01,prod,0.21,1156
c93c718a-fbd5-488e-be80-8ae70ed8f45a,2025-06-29,U05,T03,D01,dev,0.08,36
8b27f54f-b058-4e59-bc53-fcbfa1321aa2,2025-06-29,U03,T02,D02,prod,0.13,1146
42b521d8-8db6-4bee-bdad-683af8a1ffa1,2025-06-29,U01,T01,D01,prod,0.34,1290
840c3bcf-74c3-48bf-8f13-84caa1cc155e,2025-06-29,U06,T03,D04,prod,0.09,862
eaaecd3e-36a3-4164-a8e9-73f13af686f9,2025-06-29,U02,T01,D02,staging,0.1,622
16b86243-0736-4ead-a7d0-9180201bf034,2025-06-29,U08,T04,D01,prod,0.16,508
ecb7632c-d776-4f21-9031-55e8d883be95,2025-06-29,U06,T03,D01,staging,0.05,359
33560fb6-c6a2-48eb-a622-941bbbdbd11a,2025-06-29,U07,T04,D04,staging,0.09,545
5c0de126-3d23-42ee-8d6f-913cdd59442e,2025-06-29,U02,T01,D01,prod,0.23,1466
8423e88b-d43b-4bd0-ba13-5a4d8a55a086,2025-06-29,U07,T04,D03,dev,0.04,302
606f6bc3-edcc-427d-a6bf-ff454efe5f20,2025-06-29,U02,T01,D03,prod,0.23,787
af3343ba-b916-4a46-a192-0ba7e06bc8dc,2025-06-29,U01,T01,D04,prod,0.09,766
eb76edd9-23b6-4555-bd64-f5261dd2bd26,2025-06-29,U03,T02,D04,staging,0.03,539
b16c7045-ded1-4c2d-a612-b08f4fd13902,2025-06-29,U06,T03,D02,prod,0.17,663
991d64a5-1e39-485a-8c3b-f09a910e398d,2025-06-29,U08,T04,D04,staging,0.14,828
3618bf2d-8a16-4606-8015-aaa6ba1e8c92,2025-06-29,U06,T03,D04,prod,0.34,1362
7692b12b-5bc9-4b7d-a0e0-8d8fe4031541,2025-06-29,U01,T01,D02,staging,0.12,839
5603552f-1828-4b30-a3cb-6a8c9a4a6bf3,2025-06-29,U01,T01,D02,prod,0.2,1106
3bc9b35d-ac71-4f09-a9bc-1e728accadb8,2025-06-29,U05,T03,D01,prod,0.2,754
13019668-bd5f-476f-8b87-bd52878f72c8,2025-06-29,U01,T01,D02,prod,0.21,1007
ff2125a9-652d-4014-be2d-e30131e25d95,2025-06-29,U02,T01,D03,prod,0.14,1124
6eca7b5d-8b31-4322-a448-90340425dd3a,2025-06-29,U06,T03,D01,prod,0.24,439
c5a0905d-a499-4dd2-af52-fb594fc68a79,2025-06-29,U08,T04,D04,prod,0.22,743
317d59ec-6a14-4bab-8789-801ae4578ccc,2025-06-29,U02,T01,D02,prod,0.27,931
