query_id,team_id,user_id,calculated_cost_usd,cost_driver,cost_date
Q01,T04,U08,1.92,partition_discount,2025-12-10
Q02,T02,U03,1.89,full_scan_penalty,2025-12-10
Q03,T04,U07,8.52,full_scan_penalty,2025-12-10
Q04,T01,U02,2.46,full_scan_penalty,2025-12-10
Q05,T01,U02,7.89,full_scan_penalty,2025-12-10
Q06,T01,U01,5.78,partition_discount,2025-12-10
Q07,T02,U03,5.65,partition_discount,2025-12-10
Q08,T03,U05,3.81,partition_discount,2025-12-10
Q09,T04,U08,5.38,partition_discount,2025-12-11
Q10,T04,U07,2.64,full_scan_penalty,2025-12-11
Q11,T04,U07,4.8,partition_discount,2025-12-11
Q12,T02,U03,3.0,full_scan_penalty,2025-12-11
Q13,T03,U05,4.71,full_scan_penalty,2025-12-11
Q14,T03,U05,2.82,full_scan_penalty,2025-12-11
Q15,T02,U04,6.32,partition_discount,2025-12-11
Q16,T01,U02,2.9,partition_discount,2025-12-11
Q17,T04,U07,6.18,partition_discount,2025-12-11
Q18,T04,U07,0.93,partition_discount,2025-12-11
Q19,T03,U05,5.22,partition_discount,2025-12-11
Q20,T04,U08,9.87,full_scan_penalty,2025-12-11
