query_id,user_id,dataset_id,bytes_processed_gb,query_type,executed_at,query_origin
Q01,U08,D01,120,ad_hoc,2025-12-10 08:00:00,API
Q02,U03,D02,63,ad_hoc,2025-12-10 10:00:00,API
Q03,U07,D03,284,dashboard,2025-12-10 12:00:00,Notebook
Q04,U02,D03,82,dashboard,2025-12-10 14:00:00,Notebook
Q05,U02,D03,263,ad_hoc,2025-12-10 16:00:00,API
Q06,U01,D04,361,scheduled,2025-12-10 18:00:00,Looker
Q07,U03,D04,353,dashboard,2025-12-10 20:00:00,Looker
Q08,U05,D04,238,scheduled,2025-12-10 22:00:00,Looker
Q09,U08,D01,336,dashboard,2025-12-11 00:00:00,Notebook
Q10,U07,D03,88,dashboard,2025-12-11 02:00:00,Notebook
Q11,U07,D01,300,ad_hoc,2025-12-11 04:00:00,Notebook
Q12,U03,D03,100,dashboard,2025-12-11 06:00:00,Notebook
Q13,U05,D03,157,dashboard,2025-12-11 08:00:00,Looker
Q14,U05,D02,94,scheduled,2025-12-11 10:00:00,Looker
Q15,U04,D01,395,scheduled,2025-12-11 12:00:00,Notebook
Q16,U02,D04,181,dashboard,2025-12-11 14:00:00,Notebook
Q17,U07,D01,386,scheduled,2025-12-11 16:00:00,Notebook
Q18,U07,D04,58,ad_hoc,2025-12-11 18:00:00,Looker
Q19,U05,D04,326,ad_hoc,2025-12-11 20:00:00,Notebook
Q20,U08,D03,329,ad_hoc,2025-12-11 22:00:00,API
